dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.938061,18.283290,15.414223,10.164036,-18.696989,-1273.120129,0.099536
0.020000,20.133245,18.301519,15.610256,9.801678,-18.117912,28.953817,0.087474
0.020000,20.321590,18.317288,15.799260,9.450195,-17.574108,27.190196,0.080351
0.020000,20.503189,18.331626,15.981424,9.108225,-17.098538,23.778510,0.077993
0.020000,20.678128,18.345428,16.156907,8.774134,-16.704507,19.701541,0.080252
0.020000,20.846470,18.359474,16.325833,8.446309,-16.391248,15.662945,0.087014
0.020000,21.008247,18.374432,16.488301,8.123380,-16.146460,12.239422,0.098187
0.020000,21.163467,18.390873,16.644389,7.804417,-15.948147,9.915625,0.113698
0.020000,21.312115,18.409275,16.794171,7.489105,-15.765638,9.125451,0.133480
0.020000,21.454165,18.430023,16.937729,7.177904,-15.560032,10.280308,0.157457
0.020000,21.589603,18.453419,17.075173,6.872197,-15.285365,13.733364,0.185527
0.020000,21.718441,18.479683,17.206661,6.574383,-14.890657,19.735389,0.217544
0.020000,21.840743,18.508963,17.332419,6.287899,-14.324216,28.322079,0.253299
0.020000,21.956645,18.541350,17.452761,6.017100,-13.539938,39.213888,0.292503
0.020000,22.066372,18.576893,17.568101,5.766988,-12.505644,51.714695,0.334774
0.020000,22.170242,18.615620,17.678955,5.542727,-11.213002,64.632112,0.379635
0.020000,22.268661,18.657556,17.785936,5.349049,-9.683899,76.455129,0.426521
0.020000,22.362098,18.702745,17.889727,5.189545,-7.975202,85.434880,0.474801
0.020000,22.451057,18.751249,17.991050,5.066132,-6.170666,90.226801,0.523811
0.020000,22.536033,18.803151,18.090623,4.978636,-4.374820,89.792271,0.572886
0.020000,22.618764,18.859297,18.190606,4.999190,1.027722,270.127099,0.616475
0.020000,22.703534,18.921955,18.296020,5.270686,13.574784,627.353099,0.657061
0.020000,22.783006,18.985945,18.398052,5.101582,-8.455210,-1101.499672,0.699220
0.020000,22.857244,19.051160,18.496867,4.940752,-8.041478,20.686569,0.742797
0.020000,22.926365,19.117516,18.592683,4.790785,-7.498365,27.155661,0.787594
0.020000,22.990525,19.184954,18.685765,4.654141,-6.832166,33.309956,0.833363
0.020000,23.049918,19.253449,18.776425,4.532992,-6.057483,38.734138,0.879819
0.020000,23.104763,19.323008,18.865005,4.428996,-5.199792,42.884564,0.926645
0.020000,23.155288,19.393665,18.951868,4.343139,-4.292865,45.346318,0.973507
0.020000,23.201722,19.465472,19.037380,4.275622,-3.375810,45.852774,1.020066
0.020000,23.244283,19.538490,19.121897,4.225840,-2.489139,44.333557,1.065995
0.020000,23.283169,19.612777,19.205746,4.192450,-1.669475,40.983214,1.110990
0.020000,23.318557,19.688374,19.289216,4.173501,-0.947482,36.099606,1.154786
0.020000,23.350601,19.765299,19.372549,4.166625,-0.343765,30.185895,1.197160
0.020000,23.379436,19.843540,19.455934,4.169245,0.130972,23.736844,1.237935
0.020000,23.405185,19.923050,19.539509,4.178769,0.476196,17.261195,1.276986
0.020000,23.427957,20.003753,19.623364,4.192734,0.698288,11.104588,1.314230
0.020000,23.447861,20.085545,19.707543,4.208945,0.810537,5.612437,1.349625
0.020000,23.465001,20.168299,19.792053,4.225509,0.828216,0.883948,1.383165
0.020000,23.479486,20.251871,19.876871,4.240897,0.769369,-2.942340,1.414871
