dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.908002,15.872387,12.370431,10.629103,6.207578,2.134317,6.276611
0.020000,17.123083,15.871980,12.585513,10.754066,6.248146,2.028390,0.002898
0.020000,17.340221,15.873707,12.802658,10.857249,5.159162,-54.449211,0.013119
0.020000,17.558060,15.877742,13.020534,10.893813,1.828171,-166.549535,0.024028
0.020000,17.775235,15.884201,13.237804,10.863530,-1.514142,-167.115661,0.035548
0.020000,17.991252,15.893180,13.454008,10.810175,-2.667744,-57.680121,0.047632
0.020000,18.206048,15.904767,13.669117,10.755444,-2.736533,-3.439448,0.060256
0.020000,18.419557,15.919046,13.883102,10.699258,-2.809333,-3.639975,0.073392
0.020000,18.631704,15.936088,14.095933,10.641538,-2.885973,-3.832021,0.087013
0.020000,18.842414,15.955954,14.307577,10.582208,-2.966533,-4.027966,0.101088
0.020000,19.051605,15.978698,14.518001,10.521187,-3.051017,-4.224235,0.115586
0.020000,19.259193,16.004359,14.727169,10.458405,-3.139134,-4.405853,0.130475
0.020000,19.465091,16.032968,14.935045,10.393797,-3.230381,-4.562330,0.145721
0.020000,19.669209,16.064542,15.141591,10.327298,-3.324958,-4.728845,0.161290
0.020000,19.827754,16.088923,15.301999,8.020433,-115.343246,-5600.914425,0.139299
0.020000,19.988322,16.109509,15.463881,8.094107,3.683692,5951.346929,0.116740
0.020000,20.153367,16.127348,15.629888,8.300330,10.311146,331.372675,0.099536
0.020000,20.322530,16.143136,15.799786,8.494916,9.729340,-29.090285,0.087474
0.020000,20.495497,16.157612,15.973358,8.678587,9.183516,-27.291214,0.080351
0.020000,20.672002,16.171546,16.150412,8.852705,8.705897,-23.880934,0.077993
0.020000,20.851822,16.185735,16.330790,9.018909,8.310226,-19.783532,0.080252
0.020000,21.034762,16.201004,16.514367,9.178818,7.995459,-15.738388,0.087014
0.020000,21.220644,16.218201,16.701043,9.333804,7.749261,-12.309887,0.098187
0.020000,21.409283,16.238196,16.890739,9.484798,7.549702,-9.977937,0.113698
0.020000,21.600464,16.261882,17.083381,9.632118,7.366007,-9.184779,0.133480
0.020000,21.793914,16.290160,17.278887,9.775305,7.159357,-10.332468,0.157457
0.020000,21.989276,16.323934,17.477147,9.912980,6.883752,-13.780263,0.185527
0.020000,22.186077,16.364083,17.678002,10.042748,6.488407,-19.767254,0.217544
0.020000,22.383708,16.411433,17.881225,10.161180,5.921583,-28.341207,0.253299
0.020000,22.581403,16.466713,18.086504,10.263923,5.137178,-39.220218,0.292503
0.020000,22.778242,16.530510,18.293424,10.345995,4.103568,-51.680506,0.334774
0.020000,22.973168,16.603219,18.501468,10.402228,2.811675,-64.594667,0.379635
0.020000,23.165023,16.685000,18.710027,10.427919,1.284538,-76.356833,0.426521
0.020000,23.352616,16.775747,18.918416,10.419447,-0.423625,-85.408188,0.474801
0.020000,23.534788,16.875091,19.125915,10.374957,-2.224494,-90.043431,0.523811
0.020000,23.710495,16.982415,19.331806,10.294588,-4.018408,-89.695688,0.572886
0.020000,23.871449,17.091466,19.526224,9.720898,-28.684520,-1233.305627,0.616475
0.020000,24.026918,17.206408,19.719569,9.667251,-2.682339,1300.109067,0.657061
0.020000,24.177517,17.327698,19.912938,9.668419,0.058398,137.036839,0.699220
0.020000,24.322671,17.455238,20.106164,9.661296,-0.356156,-20.727692,0.742797
0.020000,24.461789,17.588818,20.299030,9.643333,-0.898150,-27.099703,0.787594
0.020000,24.594284,17.728108,20.491271,9.612046,-1.564340,-33.309496,0.833363
0.020000,24.719603,17.872653,20.682577,9.565283,-2.338187,-38.692328,0.879819
0.020000,24.837251,18.021882,20.872605,9.501386,-3.194814,-42.831347,0.926645
0.020000,24.946825,18.175125,21.060992,9.419374,-4.100633,-45.290989,0.973507
0.020000,25.048032,18.331634,21.247373,9.319040,-5.016660,-45.801334,1.020066
0.020000,25.140703,18.490616,21.431393,9.200979,-5.903084,-44.321206,1.065995
0.020000,25.224803,18.651265,21.612723,9.066546,-6.721663,-40.928967,1.110990
0.020000,25.300425,18.812793,21.791077,8.917681,-7.443212,-36.077411,1.154786
0.020000,25.367781,18.974458,21.966212,8.756751,-8.046494,-30.164133,1.197160
0.020000,25.427178,19.135585,22.137939,8.586325,-8.521320,-23.741305,1.237935
0.020000,25.479004,19.295581,22.306119,8.409005,-8.865989,-17.233443,1.276986
0.020000,25.523702,19.453938,22.470663,8.227231,-9.088729,-11.137005,1.314230
0.020000,25.561750,19.610238,22.631528,8.043215,-9.200789,-5.602974,1.349625
0.020000,25.593640,19.764145,22.788704,7.858829,-9.219297,-0.925405,1.383165
0.020000,25.619867,19.915401,22.942217,7.675635,-9.159708,2.979455,1.414871
0.020000,25.640915,20.063812,23.092113,7.494816,-9.040917,5.939559,1.444789
0.020000,25.657246,20.209244,23.238459,7.317272,-8.877234,8.184133,1.472978
0.020000,25.669300,20.351607,23.381331,7.143635,-8.681820,9.770695,1.499510
0.020000,25.677488,20.490853,23.520818,6.974319,-8.465830,10.799514,1.524465
0.020000,25.682189,20.626962,23.657008,6.809513,-8.240264,11.278307,1.547928
0.020000,25.683754,20.759939,23.789995,6.649324,-8.009482,11.539082,1.569982
0.020000,25.682505,20.889807,23.919869,6.493706,-7.780893,11.429440,1.590713
0.020000,25.678974,21.010904,24.041017,6.057422,-21.814178,-701.664235,1.608124
0.020000,25.673801,21.129003,24.159229,5.910591,-7.341591,723.629327,1.621187
0.020000,25.667063,21.246417,24.276837,5.880397,-1.509663,291.596429,1.635243
0.020000,25.658660,21.363117,24.393838,5.850076,-1.516074,-0.320554,1.650289
0.020000,25.648498,21.479063,24.510229,5.819526,-1.527495,-0.571064,1.666321
0.020000,25.636486,21.594211,24.626002,5.788638,-1.544397,-0.845083,1.683332
0.020000,25.622537,21.708507,24.741146,5.757221,-1.570858,-1.323044,1.701314
0.020000,25.606571,21.821889,24.855647,5.725031,-1.609466,-1.930408,1.720251
0.020000,25.588513,21.934284,24.969483,5.691816,-1.660781,-2.565765,1.740124
0.020000,25.568297,22.045608,25.082628,5.657233,-1.729147,-3.418312,1.760909
0.020000,25.545868,22.155766,25.195046,5.620922,-1.815559,-4.320558,1.782574
0.020000,25.521182,22.264652,25.306695,5.582467,-1.922723,-5.358236,1.805078
0.020000,25.494208,22.372149,25.417524,5.541433,-2.051716,-6.449644,1.828375
0.020000,25.464933,22.478127,25.527471,5.497360,-2.203664,-7.597394,1.852408
0.020000,25.433359,22.582449,25.636467,5.449774,-2.379272,-8.780398,1.877112
0.020000,25.399510,22.684970,25.744431,5.398216,-2.577892,-9.930986,1.902414
0.020000,25.363429,22.785538,25.851276,5.342238,-2.798914,-11.051123,1.928233
0.020000,25.325183,22.883999,25.956905,5.281448,-3.039522,-12.030412,1.954479
0.020000,25.284859,22.980200,26.061215,5.215501,-3.297356,-12.891673,1.981058
0.020000,25.242567,23.073988,26.164097,5.144129,-3.568599,-13.562141,2.007868
0.020000,25.198441,23.165220,26.265440,5.067151,-3.848900,-14.015059,2.034807
0.020000,25.152632,23.253762,26.365130,4.984483,-4.133402,-14.225116,2.061770
0.020000,25.105309,23.339490,26.463053,4.896141,-4.417074,-14.183600,2.088651
0.020000,25.056657,23.422301,26.559098,4.802248,-4.694673,-13.879951,2.115349
0.020000,25.006874,23.502107,26.653158,4.703008,-4.961979,-13.365296,2.141764
0.020000,24.956164,23.578840,26.745133,4.598739,-5.213462,-12.574151,2.167803
0.020000,24.904739,23.652452,26.834929,4.489798,-5.447024,-11.678092,2.193381
0.020000,24.852810,23.722917,26.922461,4.376638,-5.658013,-10.549458,2.218420
0.020000,24.800587,23.790228,27.007656,4.259723,-5.845741,-9.386381,2.242849
0.020000,24.748276,23.854399,27.090447,4.139545,-6.008897,-8.157820,2.266610
0.020000,24.696075,23.915460,27.170779,4.016625,-6.146018,-6.856039,2.289651
0.020000,24.644173,23.973456,27.248608,3.891452,-6.258656,-5.631879,2.311930
0.020000,24.592749,24.028448,27.323898,3.764498,-6.347678,-4.451112,2.333415
0.020000,24.541969,24.080507,27.396622,3.636202,-6.414832,-3.357694,2.354081
0.020000,24.491986,24.129715,27.466763,3.507020,-6.459076,-2.212202,2.373912
0.020000,24.442942,24.176159,27.534308,3.377257,-6.488154,-1.453920,2.392897
0.020000,24.394965,24.219933,27.599253,3.247268,-6.499461,-0.565361,2.411032
0.020000,24.348171,24.261133,27.661600,3.117359,-6.495428,0.201683,2.428318
0.020000,24.302663,24.299858,27.721355,2.987730,-6.481450,0.698885,2.444761
0.020000,24.258534,24.336206,27.778527,2.858584,-6.457296,1.207722,2.460369
0.020000,24.215865,24.370276,27.833129,2.730089,-6.424743,1.627629,2.475154
0.020000,24.174730,24.402165,27.885176,2.602370,-6.385993,1.937492,2.489131
0.020000,24.135193,24.431964,27.934686,2.475491,-6.343928,2.103246,2.502315
0.020000,24.097308,24.459764,27.981677,2.349548,-6.297157,2.338547,2.514724
0.020000,24.061124,24.485653,28.026168,2.224571,-6.248855,2.415097,2.526376
0.020000,24.026683,24.509712,28.068180,2.100585,-6.199293,2.478126,2.537287
0.020000,23.994022,24.532018,28.107731,1.977578,-6.150336,2.447845,2.547478
0.020000,23.963172,24.552645,28.144842,1.855531,-6.102354,2.399097,2.556966
0.020000,23.934160,24.571662,28.179531,1.734470,-6.053049,2.465236,2.565768
0.020000,23.907009,24.589133,28.211818,1.614328,-6.007122,2.296384,2.573901
0.020000,23.881738,24.605116,28.241719,1.495031,-5.964823,2.114937,2.581383
0.020000,23.858365,24.619665,28.269250,1.376579,-5.922609,2.110700,2.588227
0.020000,23.836903,24.632831,28.294428,1.258914,-5.883277,1.966602,2.594448
0.020000,23.817365,24.644658,28.317268,1.141964,-5.847474,1.790152,2.600060
0.020000,23.799760,24.655188,28.337781,1.025670,-5.814724,1.637483,2.605075
0.020000,23.784097,24.664455,28.355980,0.909958,-5.785575,1.457442,2.609503
0.020000,23.770383,24.672494,28.371876,0.794807,-5.757554,1.401043,2.613355
0.020000,23.758624,24.679330,28.385479,0.680118,-5.734434,1.156007,2.616639
0.020000,23.748824,24.684988,28.396795,0.565813,-5.715285,0.957460,2.619364
0.020000,23.740986,24.689487,28.405832,0.451869,-5.697198,0.904355,2.621534
0.020000,23.735114,24.692844,28.412596,0.338167,-5.685097,0.605063,2.623154
0.020000,23.731210,24.695068,28.417089,0.224685,-5.674081,0.550801,2.624230
0.020000,23.729265,24.696174,28.419326,0.111836,-5.642445,1.581787,2.624764
0.020000,23.728781,24.696449,28.419883,0.027840,-4.199829,72.130820,2.624898
0.020000,23.728781,24.696449,28.419883,0.000000,-1.391979,140.392499,2.624898
